date,region,index,mean,median,lower_80,upper_80,infections,test_adjusted_positive,test_adjusted_positive_raw,positive,tests,new_tests,new_cases,new_deaths
2020-04-30,CT,63,0.707715237624548,0.705271990203504,0.645682725167597,0.760880836398763,392.152961879389,802.784487027963,1448.95299736531,933,2315,2315,933,89
2020-05-01,CT,64,0.709158918091325,0.709211401421944,0.647408899898755,0.764255013137214,367.626401416374,765.20002350258,1224.48720653514,1064,3124,3124,1064,82
2020-05-02,CT,65,0.710331022938301,0.709760939711694,0.647922876820498,0.763821090777589,344.71223393956,728.120555023531,0,0,0,0,0,0
2020-05-03,CT,66,0.713088539238886,0.709996807747207,0.658198764319161,0.772574023577573,323.336697265514,691.743968701734,840.917787272797,523,2236,2236,523,97
2020-05-04,CT,67,0.714971761001989,0.712411993676251,0.658744005985362,0.77221698466404,303.391855257862,656.246872428464,0,0,0,0,0,59
2020-05-05,CT,68,0.715917487864581,0.714702851845428,0.658808547062652,0.775471953338912,284.821394379521,621.770133044289,779.83794490951,1334,6150,6150,1334,138
2020-05-06,CT,69,0.719161539063126,0.719730907639976,0.659428178451754,0.774360735153929,267.541443486293,588.431061009393,479.531611802791,374,2804,2804,374,85
2020-05-07,CT,70,0.720542479909506,0.720914202596245,0.652332015776009,0.770713571447274,251.410407375659,556.322979498524,600.088149068314,789,4727,4727,789,79
2020-05-08,CT,71,0.722034174085732,0.721819363562147,0.664274698697511,0.781058834112255,236.362996858821,525.516115462348,516.188111714977,627,4367,4367,627,77
2020-05-09,CT,72,0.723568523193507,0.722873307191867,0.658244884328732,0.775441517764094,222.332848241768,496.058795694597,680.334352134666,573,3028,3028,573,58
2020-05-10,CT,73,0.724536861991475,0.721167904316199,0.659898923836143,0.774428379210853,209.22073435714,467.977740248099,309.416699910684,570,6623,6623,570,35
2020-05-11,CT,74,0.725819713137742,0.724289509996881,0.657254798625488,0.777410825999494,196.95497512265,441.282811832306,327.542417007761,211,2316,2316,211,41
2020-05-12,CT,75,0.727824482592902,0.726267840250346,0.670590217484664,0.792492464607974,185.467827731434,415.969162476113,345.178565529342,568,5916,5916,568,33
2020-05-13,CT,76,0.730464568858536,0.730326119824636,0.666861950962619,0.790286854424523,174.697808961736,392.015000649975,415.290322510188,522,4519,4519,522,84
2020-05-14,CT,77,0.732993381389327,0.731480205510318,0.666094140256394,0.789789793437697,164.616793734863,369.38626806596,330.787097042976,609,6619,6619,609,94
2020-05-15,CT,78,0.733895055042887,0.731311774020912,0.665716362533273,0.791345039706837,155.208022198459,348.040650488987,351.815671974266,621,6346,6346,621,66
2020-05-16,CT,79,0.735035455596462,0.737067636064313,0.666740534467975,0.794177762662176,146.430180112483,327.928001104994,251.140119768666,618,8847,8847,618,54
2020-05-17,CT,80,0.735910292463735,0.736614916656466,0.672289876456495,0.796972072963261,138.209995205689,308.993230421631,439.87811373891,716,5852,5852,716,69
2020-05-18,CT,81,0.73921974111025,0.73896358197643,0.68385169840941,0.798648962956531,130.485497506076,291.178018079295,354.335100134307,697,7072,7072,697,41
2020-05-19,CT,82,0.742015976732978,0.741603530155208,0.686225777109462,0.801212220266956,123.221984941057,274.421786577722,143.973261623373,314,7841,7841,314,23
2020-05-20,CT,83,0.743704286247287,0.742379767897691,0.675410766097866,0.792927803819783,116.418478715394,258.66562141864,405.999478091934,587,5198,5198,587,57
2020-05-21,CT,84,0.744531120776625,0.741722452388888,0.686325911880954,0.80264515998571,110.066896531459,243.854510451291,119.861082112281,191,5729,5729,191,53
2020-05-22,CT,85,0.746665873278865,0.744511323955456,0.689509030879839,0.810251404683457,104.118241057249,229.936475407572,264.092590505749,432,5881,5881,432,55
2020-05-23,CT,86,0.747856705828751,0.747107928379428,0.682261545852317,0.805465167875718,98.5169528966522,216.860486839473,227.416505852378,382,6039,6039,382,38
2020-05-24,CT,87,0.747434188422961,0.746815375038857,0.695752199602656,0.821876405704418,93.2425866993969,204.575394142719,277.944426004925,446,5769,5769,446,18
2020-05-25,CT,88,0.748276270062931,0.748715693977851,0.67477793020763,0.805645093664391,88.2800183778473,193.030968265691,191.83899762405,405,7590,7590,405,49
2020-05-26,CT,89,0.751357970930757,0.74932143476453,0.680365991500842,0.816870915499642,83.5920679261291,182.180963928606,425.17549915496,430,3636,3636,430,27
2020-05-27,CT,90,0.752105456045625,0.749483168487991,0.680040077705559,0.816492931480879,79.1592813702779,171.984308804577,0,0,3507,3507,-15,34
2020-05-28,CT,91,0.753936309701711,0.751371618593289,0.680567345527224,0.814922002044997,74.9909681398988,162.402279127831,146.379286793288,271,6656,6656,271,23
2020-05-29,CT,92,0.755324713405068,0.752775583406455,0.697779384143311,0.831342539430377,71.0751648527736,153.396143700576,124.373994281269,203,5868,5868,203,42
2020-05-30,CT,93,0.755759829985585,0.753087931830748,0.682497108037369,0.819374108605106,67.3903976478475,144.928602418531,168.667137999519,260,5542,5542,260,44
2020-05-31,CT,94,0.756182215022495,0.754190266838395,0.685290416690744,0.825388513033266,63.9207421022565,136.96479375674,206.860070845396,179,3111,3111,179,32
2020-06-01,CT,95,0.757071977654859,0.753108732936711,0.68545212202471,0.82515176184862,60.6455637533951,129.471171319009,170.822941734569,539,11344,11344,539,20
2020-06-02,CT,96,0.757846407543515,0.754019468616587,0.673157295760603,0.818541461567249,57.5471701632647,122.415909277984,93.194574349911,239,9220,9220,239,8
2020-06-03,CT,97,0.758817958576819,0.756314816150883,0.677737041312208,0.828781025345333,54.616682112091,115.770723683302,69.1148216383145,112,5826,5826,112,17
2020-06-04,CT,98,0.75870361030648,0.755790411365755,0.676659557639381,0.827675556029044,51.8463345151148,109.510552637187,104.556951842899,148,5089,5089,148,18
2020-06-05,CT,99,0.759790497391507,0.755929892187283,0.67955808734607,0.834535458404555,49.2274571135378,103.612448991477,135.540820022916,221,5862,5862,221,31
2020-06-06,CT,100,0.762684203903906,0.758026602414044,0.676653835259188,0.839735912070695,46.7478114888674,98.054886002587,157.692153981873,358,8162,8162,358,17
2020-06-07,CT,101,0.765176020698953,0.760862157934358,0.677802985482908,0.843125050920807,44.4011288611864,92.8171750942093,79.2477204651557,150,6805,6805,150,16
2020-06-08,CT,102,0.766750463685879,0.75983284288177,0.680639452749642,0.855039376358008,42.1939815805534,87.8795703570571,77.978906749353,124,5717,5717,124,13
2020-06-09,CT,103,0.767907989216153,0.760597747353364,0.672012628145144,0.858788343837658,40.1262921107839,83.2236142797361,68.2931938654854,87,4580,4580,87,13
2020-06-10,CT,104,0.768691537546856,0.764662456876638,0.673319994068744,0.866674438323334,38.1841525712701,78.8318565142722,141.716195752518,168,4262,4262,168,23
2020-06-11,CT,105,0.769819923260236,0.766643495534701,0.660258186741979,0.860095954320531,36.3525144778304,74.6879402259741,81.4008660777939,114,5035,5035,114,26
2020-06-12,CT,106,0.770230157488453,0.764093365851479,0.658096448690366,0.868772431614279,34.6222174422522,70.776623816299,98.6885048643612,228,8306,8306,228,13
2020-06-13,CT,107,0.769336106035012,0.766223820879307,0.648450839768299,0.86781527880169,32.9875633532544,67.0837491314085,78.3241071516392,305,14000,14000,305,27
2020-06-14,CT,108,0.771157541614916,0.767330729430921,0.651373315418074,0.876136602431596,31.4421576589765,63.5970540299851,69.6515379911324,94,4852,4852,94,15
